date,market,symbol,company,fiscal_period,industry,q0_eps_actual,q0_eps_forecast,q0_eps_surprise,q0_sales_actual,q0_sales_forecast,q0_sales_surprise,q1_eps_actual,q1_eps_forecast,q1_eps_surprise,q1_sales_actual,q1_sales_forecast,q1_sales_surprise,q2_eps_actual,q2_eps_forecast,q2_eps_surprise,q2_sales_actual,q2_sales_forecast,q2_sales_surprise,q3_eps_actual,q3_eps_forecast,q3_eps_surprise,q3_sales_actual,q3_sales_forecast,q3_sales_surprise,q4_eps_actual,q4_eps_forecast,q4_eps_surprise,q4_sales_actual,q4_sales_forecast,q4_sales_surprise,q5_eps_actual,q5_eps_forecast,q5_eps_surprise,q5_sales_actual,q5_sales_forecast,q5_sales_surprise,q6_eps_actual,q6_eps_forecast,q6_eps_surprise,q6_sales_actual,q6_sales_forecast,q6_sales_surprise,q7_eps_actual,q7_eps_forecast,q7_eps_surprise,q7_sales_actual,q7_sales_forecast,q7_sales_surprise
2026-05-11,TSE,9433,KDDI,Q4 '25,情報・通信業,44.15,51.4,-14.11,1510.0,1560.0,-3.03,53.94,48.14,12.05,1530.0,1540.0,-0.56,43.01,46.8,-8.1,1440.0,1450.0,-1.04,37.57,43.84,-14.31,1550.0,1480.0,5.14,46.16,46.59,-0.92,1510.0,1510.0,0.07,43.12,43.97,-1.94,1470.0,1470.0,-0.54,42.49,43.71,-2.8,1390.0,1390.0,0.29,22.43,33.12,-32.27,1490.0,1510.0,-1.2
2026-05-12,TSE,7832,バンダイナムコHD,Q4 '25,その他製品,55.82,60.93,-8.39,358.43,338.59,5.86,62.69,61.43,2.05,343.39,328.5,4.53,59.22,49.31,20.09,300.43,293.56,2.34,1.16,13.24,-91.24,285.85,280.52,1.9,73.33,47.4,54.69,344.27,313.68,9.75,71.34,48.32,47.64,330.76,285.24,15.96,52.05,52.26,-0.4,280.63,269.08,4.29,62.36,27.99,122.76,278.18,253.99,9.52
2026-05-12,TSE,9984,ソフトバンクグループ,Q4 '25,情報・通信業,43.09,32.61,32.14,1980.0,1960.0,1.29,437.45,41.19,962.1,1920.0,1900.0,0.74,72.93,20.48,256.15,1820.0,1790.0,1.67,88.52,-36.62,341.71,1940.0,1910.0,1.63,-63.49,59.49,-206.72,1830.0,1820.0,0.72,200.76,25.46,688.59,1770.0,1790.0,-1.07,-30.59,19.46,-257.17,1700.0,1680.0,1.56,39.41,11.42,245.16,1750.0,1830.0,-4.28
2026-05-14,TSE,6098,リクルートホールディングス,Q4 '25,サービス業,103.46,89.22,15.96,943.2,933.36,1.05,89.15,83.91,6.24,914.75,898.14,1.85,83.97,77.19,8.79,878.84,884.58,-0.65,45.31,28.58,58.54,861.7,877.09,-1.76,79.98,66.51,20.25,897.0,904.22,-0.8,76.52,68.45,11.79,897.15,878.49,2.12,69.12,55.45,24.65,901.56,869.01,3.75,22.08,23.66,-6.68,843.7,834.33,1.12
2026-05-14,TSE,4543,テルモ,Q4 '25,精密機器,22.14,22.57,-1.9,296.63,286.86,3.4,23.76,24.5,-3.02,274.96,264.02,4.15,28.37,24.4,16.27,259.96,262.34,-0.9,12.48,20.75,-39.85,263.94,259.14,1.85,23.96,25.63,-6.52,263.55,260.14,1.31,19.75,22.12,-10.72,250.49,247.99,1.01,22.82,20.89,9.22,258.19,241.18,7.06,17.82,18.62,-4.27,238.91,226.47,5.49
2026-05-20,NASDAQ,NVDA,NVIDIA,Q1 '26,半導体、テクノロジー,1.62,1.54,5.51,68.13,66.13,3.03,1.3,1.26,3.1,57.01,54.96,3.72,1.05,1.01,4.1,46.74,46.05,1.5,0.81,0.74,9.89,44.06,43.33,1.68,0.89,0.85,4.96,39.33,38.1,3.23,0.81,0.75,8.26,35.08,33.17,5.76,0.68,0.65,5.39,30.04,28.78,4.38,0.61,0.56,9.17,26.04,24.62,5.78
2026-05-21,NASDAQ,WMT,Walmart,Q1 '26,小売り、食品、ドラッグ,0.74,0.73,1.81,190.66,190.49,0.09,0.62,0.6,3.18,179.5,177.44,1.16,0.68,0.73,-7.2,177.4,175.94,0.83,0.61,0.58,6.0,165.61,165.62,-0.01,0.66,0.65,2.18,180.55,180.07,0.27,0.58,0.53,8.87,169.6,167.69,1.14,0.67,0.65,3.65,169.34,168.56,0.46,0.6,0.52,14.34,161.51,159.57,1.22
2026-06-03,NASDAQ,AVGO,Broadcom (AVGO),Q2 '26,半導体、テクノロジー,2.05,2.03,0.93,19.31,19.26,0.28,1.95,1.87,4.43,18.02,17.47,3.14,1.69,1.66,1.69,15.95,15.83,0.8,1.58,1.57,0.69,15.0,14.96,0.31,1.6,1.51,6.12,14.92,14.62,2.05,1.42,1.39,1.88,14.05,14.07,-0.1,1.24,1.22,1.92,13.07,12.98,0.72,1.1,1.08,1.12,12.49,12.05,3.64
2026-06-16,NYSE,ORCL,Oracle,Q4 '25,エンタープライズソフト、クラウドインフラ,1.79,1.7,5.3,17.19,16.93,1.56,2.26,1.64,37.8,16.06,16.19,-0.83,1.47,1.48,-0.75,14.93,15.04,-0.75,1.7,1.64,3.5,15.9,15.58,2.06,1.47,1.49,-1.49,14.13,14.38,-1.71,1.47,1.48,-0.83,14.06,14.12,-0.42,1.39,1.33,4.38,13.31,13.23,0.56,1.63,1.65,-1.13,14.29,14.56,-1.89
2026-07-09,TSE,9983,ファーストリテイリング,Q3 '26,小売業,429.7,310.38,38.44,1030.0,989.4,3.85,480.55,415.7,15.6,1030.0,986.96,4.13,306.08,199.51,53.41,783.83,784.27,-0.06,343.98,333.03,3.29,826.51,826.52,0.0,331.19,262.43,26.2,895.01,881.5,1.53,430.19,373.3,15.24,895.19,892.46,0.31,192.86,151.35,27.43,737.34,698.16,5.61,381.23,278.22,37.03,767.5,745.95,2.89
2026-07-10,NYSE,UNH,UnitedHealth,Q2 '26,ヘルスケアサービス,7.23,6.58,9.95,111.72,109.43,2.09,2.11,2.1,0.27,113.22,113.77,-0.49,2.92,2.8,4.46,113.16,113.03,0.12,4.08,4.45,-8.32,111.62,111.52,0.08,7.2,7.29,-1.26,109.58,111.58,-1.8,6.81,6.74,1.07,100.81,101.6,-0.78,7.15,7.01,2.07,100.82,99.14,1.7,6.8,6.65,2.28,98.86,98.79,0.07
2026-07-14,NYSE,JPM,JPMorgan Chase,Q2 '26,銀行、金融,5.94,5.47,8.56,49.84,49.18,1.33,4.63,4.85,-4.57,45.8,46.17,-0.8,5.07,4.85,4.63,46.43,45.47,2.11,5.24,4.48,16.88,44.91,43.81,2.51,5.07,4.63,9.43,45.31,43.99,2.99,4.81,4.09,17.48,42.77,41.95,1.95,4.37,3.99,9.52,43.31,41.43,4.56,6.12,5.88,4.01,51.0,42.23,20.78
2026-07-14,NYSE,BAC,Bank of America,Q2 '26,銀行、金融,1.11,1.01,9.56,30.27,29.95,1.08,0.98,0.96,2.25,28.37,27.76,2.18,1.06,0.95,11.38,28.09,27.52,2.08,0.89,0.86,3.46,26.46,26.72,-0.97,0.9,0.82,10.21,27.37,26.98,1.45,0.82,0.77,6.6,25.35,25.12,0.92,0.81,0.76,6.4,25.34,25.25,0.36,0.83,0.8,4.19,25.38,25.22,0.61
2026-07-16,NASDAQ,NFLX,Netflix,Q2 '26,インターネット、テクノロジー,1.23,0.76,61.21,12.25,12.18,0.6,0.56,0.55,1.41,12.05,11.97,0.68,0.59,0.7,-15.68,11.51,11.51,0.02,0.72,0.71,1.75,11.08,11.06,0.2,0.66,0.57,16.54,10.54,10.51,0.34,0.43,0.42,1.71,10.25,10.11,1.37,0.54,0.51,5.56,9.82,9.77,0.55,0.49,0.47,2.93,9.56,9.53,0.34
2026-07-16,NYSE,TSM,TSMC,Q2 '26,半導体、テクノロジー,3.5,3.3,6.09,35.98,35.35,1.78,3.09,2.9,6.37,33.14,33.01,0.39,2.85,2.63,8.46,32.34,32.07,0.83,2.61,2.38,9.72,31.75,30.21,5.1,2.14,2.07,3.48,25.8,25.46,1.35,2.19,2.2,-0.06,26.38,26.24,0.52,1.95,1.79,8.91,23.62,23.32,1.29,1.47,1.41,3.97,20.66,20.33,1.63
2026-07-22,NYSE,JNJ,Johnson & Johnson,Q2 '26,医薬品,2.7,2.68,0.85,24.06,23.61,1.89,2.46,2.46,-0.12,24.56,24.15,1.72,2.8,2.76,1.54,23.99,23.76,1.0,2.77,2.68,3.29,23.74,22.85,3.89,2.77,2.58,7.33,21.89,21.56,1.55,2.04,1.99,2.43,22.52,22.43,0.4,2.42,2.21,9.68,22.47,22.17,1.35,2.82,2.71,4.01,22.45,22.33,0.52
2026-07-24,TSE,4519,中外製薬,Q2 '26,医薬品,70.13,67.12,4.48,321.75,314.57,2.28,78.03,73.97,5.48,346.3,325.56,6.37,76.31,74.55,2.36,333.18,346.29,-3.79,57.83,74.09,-21.95,290.0,316.94,-8.5,59.09,50.97,15.94,288.46,265.48,8.66,55.64,58.98,-5.67,302.07,291.54,3.61,66.55,60.4,10.19,315.68,296.39,6.51,67.98,54.06,25.76,315.91,275.53,14.65
2026-07-24,TSE,6954,ファナック,Q1 '26,電気機器,53.24,47.84,11.29,234.52,221.87,5.7,39.69,43.69,-9.15,215.74,213.21,1.19,44.98,39.82,12.94,211.21,198.19,6.57,40.56,35.59,13.97,196.36,195.11,0.64,47.92,40.44,18.5,212.12,208.27,1.85,35.22,34.62,1.73,197.05,197.04,0.0,43.71,34.1,28.18,192.86,193.96,-0.57,30.46,33.0,-7.7,195.1,191.14,2.07
2026-07-29,NASDAQ,TSLA,Tesla,Q2 '26,自動車、テクノロジー,0.41,0.35,15.87,22.39,22.1,1.3,0.5,0.45,9.94,24.9,24.78,0.5,0.5,0.56,-10.42,28.09,26.54,5.86,0.4,0.4,0.7,22.5,22.28,0.97,0.27,0.41,-34.72,19.34,21.27,-9.1,0.73,0.77,-5.73,25.71,27.26,-5.69,0.72,0.59,21.34,25.18,25.47,-1.12,0.52,0.61,-15.23,25.5,24.52,3.99
2026-07-29,NASDAQ,COST,Costco Wholesale,Q3 '26,小売り,4.58,4.55,0.67,69.6,69.29,0.45,4.5,4.27,5.33,67.31,67.14,0.24,5.87,5.8,1.27,86.16,86.01,0.17,4.28,4.24,1.01,63.2,63.13,0.12,4.02,4.09,-1.77,63.72,63.11,0.97,4.04,3.79,6.7,62.15,62.05,0.16,5.29,5.08,4.11,79.7,79.91,-0.27,3.78,3.7,2.1,58.52,58.02,0.85
2026-08-04,NYSE,PG,Procter & Gamble,Q4 '26,消費財,1.59,1.56,2.2,21.23,20.53,3.43,1.88,1.86,1.31,22.21,22.3,-0.4,1.99,1.9,4.9,22.39,22.18,0.92,1.48,1.42,4.11,20.89,20.84,0.23,1.54,1.52,1.31,19.78,20.15,-1.88,1.88,1.86,1.17,21.88,21.58,1.41,1.93,1.9,1.65,21.74,21.99,-1.13,1.4,1.37,1.9,20.53,20.72,-0.93
