month,score,level,level_label,data_quality_pct,rule_agreement_pct,event,max_drawdown_pct,lead_time_days
2018-01-01,15,calm,平常,77,94,False,-6.478478991513814,
2018-02-01,24,calm,平常,77,78,False,-2.6884498600556612,
2018-03-01,29,caution,注意,77,70,False,0.2718774995368403,
2018-04-01,22,calm,平常,77,84,False,2.160834185458363,
2018-05-01,24,calm,平常,77,77,False,0.48424362676077315,
2018-06-01,27,caution,注意,77,77,False,3.602155617289916,
2018-07-01,20,calm,平常,77,77,False,-3.7123324436757277,
2018-08-01,21,calm,平常,77,77,False,-6.540710662666205,
2018-09-01,20,calm,平常,77,77,True,-13.971608780476524,90
2018-10-01,29,caution,注意,77,69,False,-7.555661431995049,
2018-11-01,25,caution,注意,77,84,False,-9.177689467997258,
2018-12-01,49,caution,注意,77,31,False,7.86844016658262,
2019-01-01,26,caution,注意,77,68,False,2.9728889343927056,
2019-02-01,22,calm,平常,77,72,False,-1.1646632508775985,
2019-03-01,19,calm,平常,77,78,False,-2.9050185784269056,
2019-04-01,19,calm,平常,77,74,False,-6.57777313668354,
2019-05-01,31,caution,注意,77,61,False,6.337067456037461,
2019-06-01,22,calm,平常,77,72,False,-0.5200984708927354,
2019-07-01,27,caution,注意,77,66,False,-1.8091627240523882,
2019-08-01,28,caution,注意,77,72,False,1.7181177931020677,
2019-09-01,25,caution,注意,77,67,False,2.04317705136841,
2019-10-01,20,calm,平常,77,68,False,3.404703771449992,
2019-11-01,16,calm,平常,77,74,False,-5.945915317096466,
2019-12-01,21,calm,平常,77,68,True,-20.0010503824639,90
2020-01-01,29,caution,注意,77,61,True,-19.870592269142648,60
2020-02-01,58,alert,警戒,77,76,True,-12.511928240892825,30
2020-03-01,64,alert,警戒,77,71,False,12.68440381652789,
2020-04-01,52,alert,警戒,77,69,False,4.528181966555827,
2020-05-01,35,caution,注意,77,55,False,1.83883965139243,
2020-06-01,43,caution,注意,77,48,False,5.510132148044365,
2020-07-01,32,caution,注意,77,59,False,-0.035466635538822684,
2020-08-01,24,calm,平常,77,81,False,-6.5808483762947905,
2020-09-01,29,caution,注意,77,80,False,-2.7665786221379722,
2020-10-01,33,caution,注意,77,67,False,10.754563544385906,
2020-11-01,20,calm,平常,77,81,False,2.5571389241452653,
2020-12-01,19,calm,平常,77,81,False,-1.1136660755445142,
2021-01-01,24,calm,平常,77,74,False,2.6091451377448505,
2021-02-01,22,calm,平常,77,81,False,4.2438632533165235,
2021-03-01,13,calm,平常,77,94,False,5.242532134755841,
2021-04-01,19,calm,平常,77,87,False,0.5486488670607014,
2021-05-01,16,calm,平常,77,94,False,2.221400956583477,
2021-06-01,21,calm,平常,77,87,False,0.23362510907504364,
2021-07-01,21,calm,平常,77,83,False,-1.9957802550954886,
2021-08-01,21,calm,平常,77,87,False,-4.75691688019011,
2021-09-01,25,caution,注意,77,78,False,6.0233905798811636,
2021-10-01,21,calm,平常,77,87,False,-1.9505465436249936,
2021-11-01,33,caution,注意,77,74,False,-4.227283963077513,
2021-12-01,21,calm,平常,77,87,False,-8.229656032898626,
2022-01-01,26,caution,注意,77,74,False,-8.495524255053555,
2022-02-01,39,caution,注意,77,56,False,-5.532992424838652,
2022-03-01,31,caution,注意,77,62,True,-16.44509542716969,90
2022-04-01,46,caution,注意,77,34,False,-8.387128490215243,
2022-05-01,36,caution,注意,77,53,False,-8.391999993382681,
2022-06-01,46,caution,注意,77,36,False,-5.277139198948256,
2022-07-01,33,caution,注意,77,59,True,-13.187207598588646,60
2022-08-01,40,caution,注意,77,46,False,-9.339567201327434,
2022-09-01,57,alert,警戒,77,76,False,7.08050140603403,
2022-10-01,42,caution,注意,77,51,False,-0.8388468079015715,
2022-11-01,37,caution,注意,77,63,False,-5.89714740747305,
2022-12-01,42,caution,注意,77,53,False,3.4027842777379864,
